,nu,tauv,ratio,g,N,gamma,gSteady
351,140.0,15.0,0.2,10.0,1000.0,3.2998098510212364,3.2884025826270697
352,140.0,15.0,0.5,10.0,1000.0,3.8559944599998706,3.8717377710566017
353,140.0,15.0,1.0,10.0,1000.0,4.194853096187856,4.2404018414772375
354,140.0,15.0,2.0,10.0,1000.0,4.875993594434261,5.014504410935047
355,140.0,15.0,3.0,10.0,1000.0,4.67446868305602,4.860451092460032
356,140.0,30.0,0.2,10.0,1000.0,2.768737198565548,2.7594303270835145
357,140.0,30.0,0.5,10.0,1000.0,3.1939623573650984,3.259537597670565
358,140.0,30.0,1.0,10.0,1000.0,3.8801599678746146,3.9338613315264985
359,140.0,30.0,2.0,10.0,1000.0,4.519200838483875,4.448022454626829
360,140.0,30.0,3.0,10.0,1000.0,4.562322314169766,4.903648386432026
361,140.0,45.0,0.2,10.0,1000.0,2.404917637369906,2.431469906287483
362,140.0,45.0,0.5,10.0,1000.0,2.949147950649134,2.958735696533909
363,140.0,45.0,1.0,10.0,1000.0,3.601536842296891,3.5832843811456767
364,140.0,45.0,2.0,10.0,1000.0,4.676005993056025,4.638451929983566
365,140.0,45.0,3.0,10.0,1000.0,4.814973138830051,4.807909467001355
366,140.0,60.0,0.2,10.0,1000.0,2.4694104215405828,2.474682031135394
367,140.0,60.0,0.5,10.0,1000.0,3.228870883532341,3.1853509499402732
368,140.0,60.0,1.0,10.0,1000.0,3.9129575435407906,3.9903400739860206
369,140.0,60.0,2.0,10.0,1000.0,4.997576524098628,5.0203468870776655
370,140.0,60.0,3.0,10.0,1000.0,5.853292698597536,5.8301401863234
371,140.0,90.0,0.2,10.0,1000.0,3.592904774505459,3.6334865749753558
372,140.0,90.0,0.5,10.0,1000.0,4.341731593878349,4.327744902682963
373,140.0,90.0,1.0,10.0,1000.0,5.618091715451087,5.712039764144574
374,140.0,90.0,2.0,10.0,1000.0,9.348367681752364,8.950478072957814
375,140.0,90.0,3.0,10.0,1000.0,11.470443783255401,11.466019597762743
376,150.0,15.0,0.2,10.0,1000.0,3.0628374473903737,3.0642450960200036
377,150.0,15.0,0.5,10.0,1000.0,3.742427603641617,3.786335190219593
378,150.0,15.0,1.0,10.0,1000.0,4.21125618923363,4.056851700377715
379,150.0,15.0,2.0,10.0,1000.0,5.63822661339545,5.114571819125377
380,150.0,15.0,3.0,10.0,1000.0,4.820647176435278,5.470597497878032
381,150.0,30.0,0.2,10.0,1000.0,2.502902416377212,2.510709214458257
382,150.0,30.0,0.5,10.0,1000.0,2.932559617100787,2.938856602691605
383,150.0,30.0,1.0,10.0,1000.0,3.883988814594277,3.6995271296492915
384,150.0,30.0,2.0,10.0,1000.0,4.704273321406109,4.431256378627406
385,150.0,30.0,3.0,10.0,1000.0,4.4267416254226974,4.617648490687703
386,150.0,45.0,0.2,10.0,1000.0,2.1875709530155274,2.2053050851765494
387,150.0,45.0,0.5,10.0,1000.0,2.8255336587398308,2.8095772024208987
388,150.0,45.0,1.0,10.0,1000.0,3.497220608071579,3.48105292870973
389,150.0,45.0,2.0,10.0,1000.0,4.274986368973483,4.084953210552292
390,150.0,45.0,3.0,10.0,1000.0,4.57791742351587,4.578056465595617
391,150.0,60.0,0.2,10.0,1000.0,2.3659610477073416,2.3658723068017555
392,150.0,60.0,0.5,10.0,1000.0,2.9553763134768882,2.9379879620359106
393,150.0,60.0,1.0,10.0,1000.0,3.603820699447974,3.582367901432049
394,150.0,60.0,2.0,10.0,1000.0,4.578763106915812,4.840326685271769
395,150.0,60.0,3.0,10.0,1000.0,5.441200998344807,5.429187635127358
396,150.0,90.0,0.2,10.0,1000.0,3.610541252807065,3.6029413748833927
397,150.0,90.0,0.5,10.0,1000.0,4.28079072653027,4.2459214313227305
398,150.0,90.0,1.0,10.0,1000.0,5.172284847444683,5.169227508801107
399,150.0,90.0,2.0,10.0,1000.0,7.7537331930546864,7.752808047064281
400,150.0,90.0,3.0,10.0,1000.0,10.086907602663215,10.089872800446757
401,160.0,15.0,0.2,10.0,1000.0,2.7059920980309657,2.703851355458115
402,160.0,15.0,0.5,10.0,1000.0,3.455541494992414,3.536181810129571
403,160.0,15.0,1.0,10.0,1000.0,3.8644021913032605,4.063303955209391
404,160.0,15.0,2.0,10.0,1000.0,4.53026453694289,4.684458712668406
405,160.0,15.0,3.0,10.0,1000.0,4.898680436287201,5.068521774870901
406,160.0,30.0,0.2,10.0,1000.0,2.5062292985691705,2.49874386716153
407,160.0,30.0,0.5,10.0,1000.0,2.8880125342305125,2.921120159678585
408,160.0,30.0,1.0,10.0,1000.0,3.4084810987706327,3.481260516756854
409,160.0,30.0,2.0,10.0,1000.0,3.9908511748731854,4.256004220814925
410,160.0,30.0,3.0,10.0,1000.0,4.221568220829185,4.2672356736315855
411,160.0,45.0,0.2,10.0,1000.0,2.078034939301853,2.07974220746297
412,160.0,45.0,0.5,10.0,1000.0,2.55980103808495,2.5570182603078893
413,160.0,45.0,1.0,10.0,1000.0,3.27355875849314,3.2587203449643414
414,160.0,45.0,2.0,10.0,1000.0,4.590365306031808,4.136432863379992
415,160.0,45.0,3.0,10.0,1000.0,4.287735849091603,4.466498612302037
416,160.0,60.0,0.2,10.0,1000.0,2.330924296016332,2.335594821124568
417,160.0,60.0,0.5,10.0,1000.0,2.8700530486203983,2.875416100932648
418,160.0,60.0,1.0,10.0,1000.0,3.463128908743576,3.4763659576890347
419,160.0,60.0,2.0,10.0,1000.0,4.778954565932558,4.342471094443474
420,160.0,60.0,3.0,10.0,1000.0,4.928297506992724,4.921766401608929
421,160.0,90.0,0.2,10.0,1000.0,3.3848973763939227,3.363850988128363
422,160.0,90.0,0.5,10.0,1000.0,3.8787117874129082,3.9426161886380027
423,160.0,90.0,1.0,10.0,1000.0,4.726202911254808,4.8678272854954185
424,160.0,90.0,2.0,10.0,1000.0,7.041439710387949,7.421383661450103
425,160.0,90.0,3.0,10.0,1000.0,9.891605468971946,9.006227952218257
426,170.0,15.0,0.2,10.0,1000.0,2.3765413987745903,2.3767745039336585
427,170.0,15.0,0.5,10.0,1000.0,3.2824449501901127,3.270236023268211
428,170.0,15.0,1.0,10.0,1000.0,3.9046282369225356,3.9419844277656875
429,170.0,15.0,2.0,10.0,1000.0,4.4915004019230755,4.475130968659077
430,170.0,15.0,3.0,10.0,1000.0,4.873085597800887,4.423499134707941
431,170.0,30.0,0.2,10.0,1000.0,1.9476409846268585,1.9549282226595972
432,170.0,30.0,0.5,10.0,1000.0,2.637781006385253,2.6510405587937758
433,170.0,30.0,1.0,10.0,1000.0,3.3110627461242124,3.307040323079361
434,170.0,30.0,2.0,10.0,1000.0,3.908986508445409,4.052220071120736
435,170.0,30.0,3.0,10.0,1000.0,4.154162553026951,4.135001852571903
436,170.0,45.0,0.2,10.0,1000.0,1.9669651063011615,1.9821862811634008
437,170.0,45.0,0.5,10.0,1000.0,2.4707434084736786,2.453169074171831
438,170.0,45.0,1.0,10.0,1000.0,2.7864781655426007,2.8127647283689408
439,170.0,45.0,2.0,10.0,1000.0,3.7808878139172584,3.6843666187245048
440,170.0,45.0,3.0,10.0,1000.0,4.028438241473378,4.401772131878227
441,170.0,60.0,0.2,10.0,1000.0,1.9985884061181054,1.9854171478039055
442,170.0,60.0,0.5,10.0,1000.0,2.598562147820175,2.634624545455663
443,170.0,60.0,1.0,10.0,1000.0,3.3442808363483674,3.342914194287782
444,170.0,60.0,2.0,10.0,1000.0,4.012379100014042,4.022455787739933
445,170.0,60.0,3.0,10.0,1000.0,4.684053715493231,4.9816418056130445
446,170.0,90.0,0.2,10.0,1000.0,3.383890422053925,3.378951060848473
447,170.0,90.0,0.5,10.0,1000.0,3.8047822097499187,3.7600053262622053
448,170.0,90.0,1.0,10.0,1000.0,4.596168732731798,4.741845308126193
449,170.0,90.0,2.0,10.0,1000.0,6.165731989891393,6.106748798164213
450,170.0,90.0,3.0,10.0,1000.0,8.07350996304975,8.07353979701009
451,180.0,15.0,0.2,10.0,1000.0,1.9160488685126091,1.913767766697645
452,180.0,15.0,0.5,10.0,1000.0,3.123481371420256,3.1077528772765897
453,180.0,15.0,1.0,10.0,1000.0,3.778288629026241,3.7913332582360812
454,180.0,15.0,2.0,10.0,1000.0,4.376855613394064,4.533136914340932
455,180.0,15.0,3.0,10.0,1000.0,4.726646929946908,4.314266813024242
456,180.0,30.0,0.2,10.0,1000.0,1.6946031562532815,1.7059298857538132
457,180.0,30.0,0.5,10.0,1000.0,2.5634634941521743,2.5254861402413393
458,180.0,30.0,1.0,10.0,1000.0,3.1569798822544635,2.9977599664670307
459,180.0,30.0,2.0,10.0,1000.0,3.9389000570407298,3.833667510656014
460,180.0,30.0,3.0,10.0,1000.0,4.146304259947905,4.056149904167146
461,180.0,45.0,0.2,10.0,1000.0,1.4536350498219204,1.456958911383573
462,180.0,45.0,0.5,10.0,1000.0,2.1634554786936144,2.1520761429847792
463,180.0,45.0,1.0,10.0,1000.0,2.8313759487110897,2.8743238382215033
464,180.0,45.0,2.0,10.0,1000.0,3.4399643046396498,3.446459032139824
465,180.0,45.0,3.0,10.0,1000.0,4.146132982297283,4.035706576131713
466,180.0,60.0,0.2,10.0,1000.0,1.9559837886686677,1.957811306074374
467,180.0,60.0,0.5,10.0,1000.0,2.68752994975055,2.6876122328371084
468,180.0,60.0,1.0,10.0,1000.0,3.0970538815291553,3.0719024776223
469,180.0,60.0,2.0,10.0,1000.0,3.7299413232828083,3.883395728494728
470,180.0,60.0,3.0,10.0,1000.0,4.5666359045663905,4.786713643639913
471,180.0,90.0,0.2,10.0,1000.0,3.7151053276545394,3.6951607829437068
472,180.0,90.0,0.5,10.0,1000.0,3.709026832771079,3.684005637112969
473,180.0,90.0,1.0,10.0,1000.0,4.398561797611518,4.358421995874472
474,180.0,90.0,2.0,10.0,1000.0,5.490654161962903,5.4846920660676055
475,180.0,90.0,3.0,10.0,1000.0,7.133802579770651,7.135939836284796
476,190.0,15.0,0.2,10.0,1000.0,0.7965616213439927,0.8148701607993624
477,190.0,15.0,0.5,10.0,1000.0,2.8270900513041717,2.8023837645004375
478,190.0,15.0,1.0,10.0,1000.0,3.575036978289835,3.5835636405118754
479,190.0,15.0,2.0,10.0,1000.0,4.397641180239429,4.085694926556593
480,190.0,15.0,3.0,10.0,1000.0,5.325526216770076,4.637106008795278
481,190.0,30.0,0.2,10.0,1000.0,1.4110556818630975,1.410264063789487
482,190.0,30.0,0.5,10.0,1000.0,2.3720553671563485,2.352886626425719
483,190.0,30.0,1.0,10.0,1000.0,2.885489214168439,2.96453633299065
484,190.0,30.0,2.0,10.0,1000.0,4.0485875676980925,3.636806964441156
485,190.0,30.0,3.0,10.0,1000.0,4.556066956494903,3.9447034395250227
486,190.0,45.0,0.2,10.0,1000.0,1.1728318576259633,1.1747993433139283
487,190.0,45.0,0.5,10.0,1000.0,1.9344119969012596,1.9253055342333047
488,190.0,45.0,1.0,10.0,1000.0,2.8353458202354753,2.7576922894509766
489,190.0,45.0,2.0,10.0,1000.0,3.4898754498017985,3.4399547936103283
490,190.0,45.0,3.0,10.0,1000.0,3.4479461689584787,3.839192080585371
491,190.0,60.0,0.2,10.0,1000.0,0.9794690477138426,0.9814640751272844
492,190.0,60.0,0.5,10.0,1000.0,2.6684650716941705,2.6357107226904986
493,190.0,60.0,1.0,10.0,1000.0,3.1329679657512006,2.993183106496836
494,190.0,60.0,2.0,10.0,1000.0,3.55195778029702,3.702024299616801
495,190.0,60.0,3.0,10.0,1000.0,4.056720463532211,4.462345655208563
496,190.0,90.0,0.2,10.0,1000.0,3.395878926740616,3.3920032183626585
497,190.0,90.0,0.5,10.0,1000.0,3.338945630617195,3.3690528928390835
498,190.0,90.0,1.0,10.0,1000.0,4.0687136225028855,4.036761618533836
499,190.0,90.0,2.0,10.0,1000.0,5.023831805482311,5.0132415035559035
500,190.0,90.0,3.0,10.0,1000.0,6.1993512793949925,6.6793624012789925
