,nu,tauv,ratio,g,N,gamma,gSteady
44,10.0,60.0,2.0,10.0,1000.0,11.25585336587651,11.255853365876503
45,10.0,60.0,3.0,10.0,1000.0,13.871057371510851,13.89749680429466
46,10.0,90.0,0.2,10.0,1000.0,5.588284284530608,5.559751317576405
47,10.0,90.0,0.5,10.0,1000.0,6.421330838027316,6.421330838027315
48,10.0,90.0,1.0,10.0,1000.0,7.897265260560487,7.897265260560488
49,10.0,90.0,2.0,10.0,1000.0,10.94093147950544,10.94093147950544
50,10.0,90.0,3.0,10.0,1000.0,14.01469043697911,14.014091048979052
51,20.0,15.0,0.2,10.0,1000.0,5.366462040696952,5.361678139558002
52,20.0,15.0,0.5,10.0,1000.0,5.557670266195653,5.554108328699637
53,20.0,15.0,1.0,10.0,1000.0,5.846707352188187,5.842281542350418
54,20.0,15.0,2.0,10.0,1000.0,6.651872882905508,6.563735470397904
55,20.0,15.0,3.0,10.0,1000.0,7.41446614344708,7.40100151397764
56,20.0,30.0,0.2,10.0,1000.0,5.202426921383632,5.195464326640223
57,20.0,30.0,0.5,10.0,1000.0,5.591009833231798,5.590997964807639
58,20.0,30.0,1.0,10.0,1000.0,6.381739636743497,6.378482903919751
59,20.0,30.0,2.0,10.0,1000.0,9.535029602655229,9.441790797026684
60,20.0,30.0,3.0,10.0,1000.0,8.818064149725078,8.818064149725075
61,20.0,45.0,0.2,10.0,1000.0,5.2231491899668105,5.232612340669325
62,20.0,45.0,0.5,10.0,1000.0,5.945149647311148,5.944456657005877
63,20.0,45.0,1.0,10.0,1000.0,7.134638023745828,7.134638023745829
64,20.0,45.0,2.0,10.0,1000.0,12.153848125231756,11.474099769867882
65,20.0,45.0,3.0,10.0,1000.0,12.480945618505682,11.681962084639064
66,20.0,60.0,0.2,10.0,1000.0,5.382613336979176,5.382438005447204
67,20.0,60.0,0.5,10.0,1000.0,6.26935729565924,6.269357295659239
68,20.0,60.0,1.0,10.0,1000.0,7.875200231047845,7.87517403673758
69,20.0,60.0,2.0,10.0,1000.0,12.762269159651082,12.111429716375962
70,20.0,60.0,3.0,10.0,1000.0,13.514561558878661,13.514561558878661
71,20.0,90.0,0.2,10.0,1000.0,5.650884869547478,5.621851860284856
72,20.0,90.0,0.5,10.0,1000.0,6.567895636977269,6.554258757111857
73,20.0,90.0,1.0,10.0,1000.0,8.268553318551492,8.268553318551495
74,20.0,90.0,2.0,10.0,1000.0,11.810059438733429,11.810059438733425
75,20.0,90.0,3.0,10.0,1000.0,16.064722876689583,16.100388524541117
76,30.0,15.0,0.2,10.0,1000.0,5.20447527176511,5.223944360422671
